time,open,high,low,close,volume
2024-01-02,15.86,15.86,15.33,15.33,1299385
2024-01-03,15.33,15.48,15.29,15.48,913451
2024-01-04,15.58,16.01,15.48,15.72,3411165
2024-01-05,15.82,15.91,15.62,15.82,1201638
2024-01-08,15.91,16.49,15.91,16.39,3663443
2024-01-09,16.59,16.59,16.11,16.25,1635533
2024-01-10,16.25,16.3,15.77,15.96,1669719
2024-01-11,16.01,16.39,15.96,16.2,1678852
2024-01-12,15.91,16.35,15.91,16.01,1592604
2024-01-15,16.06,16.2,15.62,15.62,1402718
2024-01-16,15.53,15.91,15.48,15.91,1061398
2024-01-17,15.96,16.64,15.82,16.01,2028391
2024-01-18,16.01,16.35,15.77,15.91,1500450
2024-01-19,16.11,16.2,15.82,15.86,991924
2024-01-22,16.01,16.15,15.77,16.11,1126325
2024-01-23,16.11,16.2,15.91,16.01,810321
2024-01-24,16.01,16.3,15.91,16.01,1527190
2024-01-25,16.11,16.2,15.91,16.01,513244
2024-01-26,16.06,16.11,15.91,16.01,654505
2024-01-29,16.01,16.15,15.91,15.91,522975
2024-01-30,15.91,15.96,15.72,15.96,1010671
2024-01-31,16.06,16.54,15.82,15.82,2623480
2024-02-01,15.82,16.25,15.82,16.25,1188211
2024-02-02,16.39,16.73,16.39,16.59,3702771
2024-02-05,16.59,16.88,16.39,16.64,1340406
2024-02-06,16.68,17.02,16.49,16.73,1177633
2024-02-07,16.68,16.88,16.54,16.73,1212763
2024-02-15,16.78,16.83,16.54,16.68,1199810
2024-02-16,16.78,16.93,16.54,16.68,1306613
2024-02-19,16.73,16.73,16.3,16.59,1716835
2024-02-20,16.68,17.12,16.68,16.88,2708617
2024-02-21,16.88,16.88,16.59,16.78,878476
2024-02-22,16.78,16.88,16.49,16.54,1137260
2024-02-23,16.64,16.68,15.58,15.96,2620174
2024-02-26,16.01,16.68,15.91,16.68,2081147
2024-02-27,16.73,17.02,16.54,16.78,1598658
2024-02-28,16.88,16.88,16.49,16.68,1121093
2024-02-29,16.78,17.17,16.68,16.83,2740656
2024-03-01,17.02,17.84,16.88,17.46,3490695
2024-03-04,17.6,17.79,17.17,17.46,1855453
2024-03-05,17.46,18.13,17.07,18.13,3115430
2024-03-06,18.32,18.71,17.94,18.42,3844314
2024-03-07,18.71,19.67,18.71,19.67,4335493
2024-03-08,20.25,20.59,19.77,20.25,5478863
2024-03-11,20.06,20.83,19.77,20.45,3088526
2024-03-12,20.45,20.49,19.77,20.16,2898076
2024-03-13,20.25,21.12,19.96,21.02,3897868
2024-03-14,21.22,21.22,20.35,20.59,3849549
2024-03-15,20.59,20.73,19.96,20.73,3016910
2024-03-18,20.83,20.88,19.29,19.43,6766885
2024-03-19,19.48,19.77,19.19,19.53,2085887
2024-03-20,19.58,20.16,19.38,20.01,1936446
2024-03-21,20.59,20.73,19.82,20.06,2967946
2024-03-22,20.16,20.73,20.01,20.35,3697260
2024-03-25,20.35,20.59,19.91,20.01,1952077
2024-03-26,19.82,20.4,19.67,20.35,1245585
2024-03-27,20.64,20.64,20.3,20.45,1411477
2024-03-28,20.73,21.84,20.69,21.84,5942894
2024-03-29,21.84,21.94,21.36,21.51,2389889
2024-04-01,21.51,21.7,20.93,21.36,1968083
2024-04-02,21.22,21.51,20.98,21.51,1879680
2024-04-03,21.89,22.18,20.93,21.02,3392278
