time,open,high,low,close,volume
2024-01-02,8.14,8.14,7.5,7.57,23273511
2024-01-03,7.5,7.73,7.47,7.64,4328921
2024-01-04,7.64,7.72,7.64,7.65,5764534
2024-01-05,7.65,7.65,7.55,7.58,5525385
2024-01-08,7.62,7.67,7.59,7.64,4688954
2024-01-09,7.65,7.85,7.65,7.66,5957118
2024-01-10,7.65,7.75,7.6,7.65,3458633
2024-01-11,7.65,7.7,7.6,7.61,3335409
2024-01-12,7.6,7.88,7.27,7.88,8681449
2024-01-15,7.73,7.81,7.54,7.54,3618872
2024-01-16,7.5,7.58,7.5,7.55,2786503
2024-01-17,7.55,7.59,7.49,7.49,3305457
2024-01-18,7.49,7.55,7.45,7.51,3288462
2024-01-19,7.52,7.63,7.5,7.5,2754315
2024-01-22,7.52,7.56,7.46,7.53,3389267
2024-01-23,7.5,7.67,7.49,7.53,4163342
2024-01-24,7.54,7.62,7.53,7.56,3881869
2024-01-25,7.58,7.77,7.57,7.68,6933503
2024-01-26,7.69,7.74,7.62,7.62,2395353
2024-01-29,7.57,7.65,7.56,7.56,2707480
2024-01-30,7.56,7.59,7.51,7.56,2773158
2024-01-31,7.6,7.68,7.5,7.52,4229283
2024-02-01,7.55,7.58,7.51,7.52,2142988
2024-02-02,7.53,7.62,7.5,7.5,3777441
2024-02-05,7.55,7.55,7.38,7.39,6077174
2024-02-06,7.41,7.45,7.37,7.39,2998159
2024-02-07,7.39,7.45,7.39,7.43,2324339
2024-02-15,7.43,7.54,7.43,7.47,3027923
2024-02-16,7.49,7.89,7.46,7.83,13899400
2024-02-19,7.85,7.85,7.69,7.76,5079896
2024-02-20,7.79,7.82,7.69,7.74,5285346
2024-02-21,7.75,7.85,7.69,7.74,6034400
2024-02-22,7.81,8.05,7.75,7.87,11396179
2024-02-23,7.87,7.94,7.58,7.64,7480959
2024-02-26,7.64,7.69,7.55,7.65,4086445
2024-02-27,7.73,7.78,7.64,7.78,5256771
2024-02-28,7.81,7.84,7.71,7.73,5212240
2024-02-29,7.81,7.81,7.7,7.7,6011629
2024-03-01,7.71,7.84,7.65,7.83,8933872
2024-03-04,7.98,8.35,7.91,8.17,17225895
2024-03-05,8.17,8.18,8.04,8.09,6461620
2024-03-06,8.13,8.13,7.85,7.88,8570598
2024-03-07,7.9,7.91,7.79,7.84,6622128
2024-03-08,7.88,8.13,7.82,7.89,9901938
2024-03-11,7.9,8.0,7.73,7.74,5678915
2024-03-12,7.73,7.77,7.64,7.64,6805329
2024-03-13,7.7,7.85,7.64,7.85,5025336
2024-03-14,7.86,7.91,7.71,7.75,5864669
2024-03-15,7.73,7.86,7.71,7.75,5367447
2024-03-18,7.8,7.99,7.56,7.85,14532961
2024-03-19,7.91,8.35,7.88,8.05,20815229
2024-03-20,8.01,8.05,7.95,8.0,5459000
2024-03-21,8.07,8.23,8.01,8.14,12104381
2024-03-22,8.23,8.29,8.02,8.04,12264629
2024-03-25,8.09,8.32,8.05,8.17,11329020
2024-03-26,8.14,8.16,8.0,8.16,7188322
2024-03-27,8.27,8.27,8.11,8.15,5503196
2024-03-28,8.23,8.23,8.07,8.1,4843620
2024-03-29,8.1,8.12,8.0,8.0,5654668
2024-04-01,8.0,8.06,7.93,8.05,4992684
2024-04-02,8.17,8.41,8.1,8.29,19169163
2024-04-03,8.35,8.35,8.19,8.2,9035965
2024-04-04,8.2,8.23,8.05,8.07,8879343
2024-04-05,8.01,8.04,7.92,7.94,7454809
2024-04-08,8.07,8.12,7.95,8.0,4626214
2024-04-09,8.0,8.09,7.99,8.08,3949319
2024-04-10,8.09,8.14,8.0,8.0,3049986
2024-04-11,7.91,7.99,7.87,7.94,3844105
2024-04-12,7.94,8.05,7.93,7.99,2762146
2024-04-15,7.95,7.98,7.44,7.44,10640076
2024-04-16,7.42,7.42,7.0,7.14,9605758
2024-04-17,7.19,7.25,6.98,7.0,4563028
2024-04-19,7.0,7.3,7.0,7.14,7407934
2024-04-22,7.27,7.29,7.15,7.25,3473453
2024-04-23,7.26,7.36,7.15,7.26,3518686
2024-04-24,7.35,7.45,7.29,7.42,4009994
2024-04-25,7.45,7.45,7.27,7.32,3265483
2024-04-26,7.27,7.41,7.27,7.33,3251617
2024-05-02,7.42,7.6,7.34,7.57,4442587
2024-05-03,7.72,7.73,7.45,7.48,4331540
2024-05-06,7.63,7.67,7.54,7.67,6023349
2024-05-07,7.71,7.72,7.55,7.65,4183213
2024-05-08,7.59,7.93,7.52,7.79,8460960
2024-05-09,7.82,7.85,7.62,7.65,6920888
2024-05-10,7.73,7.74,7.55,7.59,6176606
2024-05-13,7.81,7.81,7.61,7.68,5220469
2024-05-14,7.74,7.74,7.61,7.62,3027538
2024-05-15,7.64,7.82,7.62,7.71,5324590
2024-05-16,7.73,7.83,7.72,7.73,4333958
2024-05-17,7.73,7.92,7.73,7.84,7080973
2024-05-20,7.95,8.27,7.89,8.17,15811424
2024-05-21,8.23,8.23,8.02,8.11,7932965
2024-05-22,8.14,8.36,8.09,8.11,10497612
2024-05-23,8.11,8.15,7.86,8.02,10629733
2024-05-24,7.98,8.08,7.55,7.73,11111893
2024-05-27,7.74,7.88,7.74,7.85,3688491
2024-05-28,7.9,7.95,7.86,7.92,3923656
2024-05-29,7.95,8.46,7.89,8.46,27560664
2024-05-30,8.6,8.9,8.55,8.72,19636113
2024-05-31,8.82,8.95,8.66,8.72,14817113
2024-06-03,8.85,8.85,8.6,8.66,20310984
2024-06-04,8.67,8.77,8.5,8.64,15821498
2024-06-05,8.64,9.23,8.64,9.01,29830434
2024-06-06,9.02,9.07,8.74,8.81,10939171
2024-06-07,8.83,8.85,8.61,8.74,12819168
2024-06-10,8.75,8.89,8.64,8.68,11935771
2024-06-11,8.72,8.73,8.45,8.53,14216431
2024-06-12,8.55,8.64,8.47,8.55,9078612
2024-06-13,8.65,8.66,8.53,8.53,6570154
2024-06-14,8.54,8.7,8.0,8.0,13753683
2024-06-17,8.18,8.27,8.09,8.12,9748292
2024-06-18,8.26,8.26,8.16,8.2,5796157
2024-06-19,8.23,8.43,8.22,8.32,13438104
2024-06-20,8.32,8.37,8.09,8.14,6882372
2024-06-21,8.11,8.25,8.07,8.09,5763292
2024-06-24,8.15,8.24,7.82,7.86,10027964
2024-06-25,7.91,7.95,7.82,7.83,4065973
2024-06-26,7.89,7.98,7.77,7.88,4282099
2024-06-27,7.88,7.94,7.81,7.85,2883540
2024-06-28,7.91,7.91,7.59,7.59,5045368
