time,open,high,low,close,volume
2024-01-02,23.5,23.55,23.05,23.1,4422717
2024-01-03,23.0,23.3,22.9,23.25,2679447
2024-01-04,23.25,23.6,23.25,23.4,4794666
2024-01-05,23.55,23.55,23.1,23.35,3302215
2024-01-08,23.35,24.1,23.35,23.7,7663595
2024-01-09,23.7,23.8,23.35,23.35,4816407
2024-01-10,23.35,23.5,23.2,23.3,3464880
2024-01-11,23.35,23.65,23.3,23.45,3880426
2024-01-12,23.3,23.3,22.9,23.1,5985258
2024-01-15,23.25,23.35,22.95,22.95,2398587
2024-01-16,22.95,23.1,22.85,23.1,2667669
2024-01-17,23.1,23.4,23.05,23.3,4901698
2024-01-18,23.3,23.55,23.2,23.55,6889991
2024-01-19,23.6,24.2,23.6,23.85,6540483
2024-01-22,24.0,24.0,23.7,23.9,5640431
2024-01-23,23.95,23.95,23.55,23.75,5534788
2024-01-24,23.75,24.3,23.7,23.95,8331683
2024-01-25,23.95,24.0,23.75,23.8,3440889
2024-01-26,23.95,23.95,23.55,23.75,5331435
2024-01-29,23.75,23.75,23.3,23.3,6630965
2024-01-30,23.3,23.6,23.1,23.4,8151749
2024-01-31,23.5,23.65,22.45,22.45,18084590
2024-02-01,22.5,22.7,22.45,22.65,6885884
2024-02-02,22.6,22.7,22.3,22.3,6507981
2024-02-05,22.35,22.4,21.7,21.8,13269733
2024-02-06,21.85,22.05,21.6,21.7,7487406
2024-02-07,21.7,21.9,21.6,21.9,6101637
2024-02-15,22.05,22.2,21.85,22.0,7118222
2024-02-16,22.1,22.7,22.05,22.5,8594099
2024-02-19,22.7,24.05,22.6,24.05,23905239
2024-02-20,24.75,25.7,24.7,25.5,25154786
2024-02-21,25.6,26.25,25.0,26.0,21078973
2024-02-22,25.8,26.65,25.75,26.4,13523968
2024-02-23,26.4,26.6,25.25,25.45,17920885
2024-02-26,25.45,26.5,25.35,26.0,14176473
2024-02-27,26.7,26.9,25.55,26.4,11773034
2024-02-28,26.8,27.9,26.3,27.8,20537831
2024-02-29,27.65,27.65,26.4,26.5,21525629
2024-03-01,26.6,26.8,25.85,26.65,13631829
2024-03-04,26.5,27.3,26.2,27.0,14028387
2024-03-05,27.0,27.2,26.4,26.7,11479557
2024-03-06,26.55,27.0,25.7,25.85,15579984
2024-03-07,26.0,26.25,25.75,26.0,7951622
2024-03-08,26.35,26.35,25.4,25.4,10158937
2024-03-11,25.4,25.55,24.5,24.5,11764400
2024-03-12,24.5,25.25,24.45,25.2,10113486
2024-03-13,25.2,25.9,24.95,25.9,8046132
2024-03-14,26.05,26.4,25.55,25.9,12350745
2024-03-15,25.7,25.8,25.1,25.75,11255700
2024-03-18,25.85,27.55,25.0,27.55,34592367
2024-03-19,28.5,28.75,26.7,26.75,16115395
2024-03-20,26.9,26.9,26.1,26.35,11626225
2024-03-21,26.7,27.15,26.35,26.95,12502063
2024-03-22,27.15,27.2,26.45,26.7,10061969
2024-03-25,26.5,26.95,25.95,26.05,8946927
2024-03-26,26.05,26.45,25.0,26.4,7343329
2024-03-27,26.35,26.4,25.9,25.95,5850353
2024-03-28,26.0,26.4,25.65,25.65,14615632
2024-03-29,25.95,25.95,25.5,25.85,5021203
2024-04-01,25.9,26.1,25.65,25.7,5888548
2024-04-02,25.7,25.75,25.35,25.55,7714446
2024-04-03,25.55,26.05,25.5,25.5,6535736
2024-04-04,25.8,25.8,25.25,25.3,5581960
2024-04-05,25.1,25.1,24.7,24.7,8278760
2024-04-08,24.8,24.85,23.6,23.6,14773033
2024-04-09,23.65,24.3,23.65,24.2,6489572
2024-04-10,24.25,24.7,24.2,24.25,4860764
2024-04-11,23.95,24.1,23.8,23.9,3361301
2024-04-12,23.95,24.4,23.95,24.15,3557041
2024-04-15,23.85,24.05,22.5,22.5,13830228
2024-04-16,22.4,22.65,21.9,22.2,12880925
2024-04-17,22.4,22.75,21.85,22.0,7307620
2024-04-19,21.65,21.95,21.05,21.3,8595065
2024-04-22,21.6,22.6,21.5,22.4,7080713
2024-04-23,22.2,22.5,21.6,21.9,4863051
2024-04-24,22.2,22.65,22.05,22.55,5632123
2024-04-25,22.35,22.6,22.1,22.55,4173486
2024-04-26,22.2,22.6,22.0,22.45,7639128
2024-05-02,22.45,22.8,22.35,22.75,6046375
2024-05-03,22.85,23.65,22.75,23.4,13037712
2024-05-06,23.5,23.5,23.0,23.35,8150053
2024-05-07,23.35,23.6,22.85,23.35,6725100
2024-05-08,23.3,23.35,22.85,23.2,7713058
2024-05-09,23.15,23.4,22.85,22.85,5067082
2024-05-10,22.9,23.0,22.3,22.5,7427009
2024-05-13,22.5,22.6,22.1,22.25,4560419
2024-05-14,22.8,22.85,22.15,22.25,5076884
2024-05-15,22.3,22.4,22.15,22.35,5428903
2024-05-16,22.5,22.8,22.45,22.65,6051048
2024-05-17,22.7,23.25,22.5,23.1,10953970
2024-05-20,23.25,23.55,22.85,22.85,6023072
2024-05-21,22.9,23.25,22.7,23.15,9304088
2024-05-22,23.1,23.7,23.1,23.15,13074438
2024-05-23,23.0,23.2,22.75,23.0,5811100
2024-05-24,22.9,22.9,22.05,22.3,14281551
2024-05-27,22.3,22.4,22.2,22.3,4554476
2024-05-28,22.35,22.55,22.3,22.45,3617223
2024-05-29,22.5,22.5,22.1,22.15,7467139
2024-05-30,22.1,22.1,21.6,21.6,11228516
2024-05-31,22.1,22.1,21.65,21.75,5368457
2024-06-03,21.95,22.45,21.95,22.3,7072516
2024-06-04,22.4,22.45,22.05,22.1,4850501
2024-06-05,22.2,22.8,22.15,22.5,9516043
2024-06-06,22.7,22.8,22.2,22.5,6312820
2024-06-07,22.5,22.6,22.2,22.2,6502375
2024-06-10,22.3,22.45,22.05,22.1,5857889
2024-06-11,22.15,22.25,21.65,21.7,11752316
2024-06-12,21.7,21.95,21.6,21.85,8001240
2024-06-13,21.9,22.05,21.6,21.7,8899169
2024-06-14,21.8,21.85,21.45,21.45,10380044
2024-06-17,21.6,21.6,21.1,21.15,8667969
2024-06-18,21.25,21.35,21.1,21.1,6165525
2024-06-19,21.15,21.2,20.65,20.65,10535080
2024-06-20,20.6,20.8,20.05,20.25,12669573
2024-06-21,20.25,20.3,19.85,20.0,12271889
2024-06-24,19.9,20.5,19.9,19.95,10149982
2024-06-25,20.1,21.3,20.05,21.3,25470431
2024-06-26,21.5,21.5,20.75,20.8,5891638
2024-06-27,20.8,20.95,20.35,20.4,7614827
2024-06-28,20.4,21.2,20.4,20.45,12795298
2024-07-01,20.7,21.85,20.6,21.85,13752023
2024-07-02,21.9,22.0,21.6,21.7,8416718
2024-07-03,21.55,21.6,20.95,21.3,34026304
2024-07-04,21.3,21.7,21.1,21.25,11941048
2024-07-05,21.4,21.4,20.7,20.8,19515764
2024-07-08,20.8,20.8,20.3,20.3,18453498
2024-07-09,20.3,20.7,20.2,20.5,10567064
2024-07-10,20.6,21.05,20.55,20.55,9610683
2024-07-11,20.7,21.05,20.65,20.7,9051209
2024-07-12,20.75,21.25,20.65,20.75,8548479
2024-07-15,20.9,20.95,20.35,20.35,11253154
2024-07-16,20.4,20.55,20.15,20.2,10330176
2024-07-17,20.3,20.35,19.75,19.75,17521006
2024-07-18,19.8,20.15,19.6,20.15,9703493
2024-07-19,20.25,20.3,19.85,19.9,5277619
2024-07-22,19.9,20.15,19.6,20.05,7590192
2024-07-23,20.25,20.4,19.95,20.05,8862982
2024-07-24,20.05,20.2,19.8,20.15,5262313
2024-07-25,20.1,20.45,19.7,19.7,14313506
2024-07-26,19.8,19.85,19.2,19.3,14275800
2024-07-29,19.4,19.55,18.95,18.95,9488900
2024-07-30,18.85,18.95,18.55,18.75,10130800
2024-07-31,18.8,19.1,18.55,18.6,6988200
2024-08-01,18.65,18.85,17.8,18.2,13055900
2024-08-02,17.95,18.15,17.75,17.95,9306900
2024-08-05,17.75,17.85,16.8,16.8,13626200
2024-08-06,17.0,17.2,16.7,17.0,12005000
2024-08-07,17.7,18.15,17.65,18.0,21450600
2024-08-08,17.9,18.0,17.45,17.65,8490200
2024-08-09,17.8,17.8,17.35,17.5,4712100
2024-08-12,17.45,17.65,17.25,17.4,4950200
2024-08-13,17.4,17.7,17.35,17.45,4207100
2024-08-14,17.5,18.15,17.5,18.0,12337200
2024-08-15,18.05,18.25,17.8,17.8,7865700
2024-08-16,17.95,18.45,17.9,18.3,8623500
2024-08-19,18.45,18.45,18.2,18.3,6788300
2024-08-20,18.25,19.0,18.25,18.75,13861700
2024-08-21,18.75,18.9,18.65,18.9,6213600
2024-08-22,18.9,20.15,18.9,19.7,22027900
2024-08-23,19.8,19.85,19.4,19.5,7332100
2024-08-26,19.7,20.1,19.6,19.85,10385400
2024-08-27,19.85,20.65,19.75,20.05,15093200
2024-08-28,20.15,20.2,19.5,19.5,12575200
2024-08-29,19.5,19.75,19.15,19.25,12572000
2024-08-30,19.35,19.45,19.2,19.2,7658100
2024-09-04,19.0,19.7,18.85,19.7,11532600
2024-09-05,19.8,20.35,19.65,19.7,12485100
2024-09-06,19.75,20.1,19.4,20.1,11269400
2024-09-09,19.95,20.25,19.85,20.1,7303300
2024-09-10,20.2,20.3,19.05,19.2,19049800
2024-09-11,19.2,19.35,18.6,19.1,8396500
2024-09-12,19.3,19.35,19.0,19.0,3212500
2024-09-13,19.1,19.4,18.85,19.3,4986800
2024-09-16,19.3,19.4,18.9,18.9,5645600
2024-09-17,19.0,19.4,18.9,19.4,6036500
2024-09-18,19.45,19.75,19.15,19.15,8583000
2024-09-19,19.25,19.45,19.2,19.45,4719500
2024-09-20,19.65,19.75,19.4,19.5,12860100
2024-09-23,19.5,19.55,19.0,19.0,10845800
2024-09-24,19.05,19.1,18.9,19.05,5918900
2024-09-25,19.3,19.3,19.05,19.1,7600900
2024-09-26,19.25,19.4,19.15,19.2,6640500
2024-09-27,19.3,19.7,19.15,19.4,11672700
2024-09-30,19.4,19.4,19.1,19.1,6834300
2024-10-01,19.15,19.55,19.1,19.4,9870100
2024-10-02,19.25,19.35,19.1,19.15,5084600
2024-10-03,19.15,19.25,18.6,18.65,14455900
2024-10-04,18.65,18.65,18.25,18.3,9504200
2024-10-07,18.45,18.5,18.15,18.25,4876600
2024-10-08,18.3,18.4,18.15,18.35,3231300
2024-10-09,18.3,18.5,18.25,18.5,3292200
2024-10-10,18.6,18.7,18.45,18.45,3633500
2024-10-11,18.5,19.1,18.35,19.0,12919000
2024-10-14,19.4,19.6,19.05,19.15,11560900
2024-10-15,19.15,19.2,18.8,18.8,6684800
2024-10-16,18.8,18.9,18.65,18.7,4185200
2024-10-17,18.7,18.85,18.6,18.75,5000900
2024-10-18,18.95,19.1,18.75,18.75,5084500
2024-10-21,18.8,19.3,18.75,19.1,11488800
2024-10-22,19.1,19.15,18.55,18.6,9087500
2024-10-23,18.65,19.05,18.6,18.65,6222700
2024-10-24,18.7,18.7,18.15,18.15,10654400
2024-10-25,18.25,18.3,18.1,18.15,4770300
2024-10-28,18.2,18.25,18.1,18.1,3242500
