,time,open,high,low,close,volume
0,2020-01-02,7.88,7.94,7.84,7.94,1163109
1,2020-01-03,7.94,8.01,7.91,7.94,1055528
2,2020-01-06,7.94,7.94,7.77,7.77,1286035
3,2020-01-07,7.77,7.84,7.77,7.77,1050934
4,2020-01-08,7.77,7.77,7.6,7.63,2304937
5,2020-01-09,7.67,7.81,7.67,7.74,1422248
6,2020-01-10,7.77,7.98,7.77,7.84,2371501
7,2020-01-13,7.91,7.91,7.84,7.91,1523181
8,2020-01-14,7.91,8.12,7.91,8.12,2851982
9,2020-01-15,8.12,8.12,8.01,8.05,1158657
10,2020-01-16,8.05,8.29,8.05,8.26,2819687
11,2020-01-17,8.29,8.32,8.19,8.22,2706194
12,2020-01-20,8.22,8.53,8.22,8.39,4443379
13,2020-01-21,8.46,8.53,8.39,8.46,1775816
14,2020-01-22,8.5,8.5,8.39,8.46,1574379
15,2020-01-30,8.36,8.39,8.01,8.15,4250097
16,2020-01-31,8.12,8.22,7.91,7.94,4243264
17,2020-02-03,7.7,7.94,7.5,7.81,4430186
18,2020-02-04,7.91,8.01,7.77,8.01,2397062
19,2020-02-05,8.08,8.12,7.91,7.94,2790275
20,2020-02-06,7.98,8.29,7.94,8.29,2980981
21,2020-02-07,8.29,8.32,8.15,8.22,2007251
22,2020-02-10,8.22,8.26,8.08,8.15,1271190
23,2020-02-11,8.15,8.22,8.12,8.19,1862090
24,2020-02-12,8.22,8.88,8.22,8.84,10516207
25,2020-02-13,8.84,8.88,8.67,8.81,3773365
26,2020-02-14,8.81,9.26,8.81,9.12,8018099
27,2020-02-17,9.08,9.22,8.98,9.12,3764464
28,2020-02-18,9.12,9.36,9.08,9.19,6293208
29,2020-02-19,9.15,9.22,8.95,9.08,5091969
30,2020-02-20,9.08,9.33,9.02,9.12,5578717
31,2020-02-21,8.6,9.19,8.6,8.88,6333926
32,2020-02-24,8.81,8.84,8.22,8.29,10321149
33,2020-02-25,8.12,8.67,7.98,8.67,8279866
34,2020-02-26,8.64,8.67,8.39,8.5,4519324
35,2020-02-27,8.36,8.81,8.36,8.81,5309790
36,2020-02-28,7.94,8.74,7.94,8.7,5959642
37,2020-03-02,8.43,8.81,8.43,8.7,3629494
38,2020-03-03,8.84,8.95,8.74,8.84,6364207
39,2020-03-04,8.84,8.91,8.74,8.91,5047583
40,2020-03-05,8.98,9.12,8.77,8.84,5965022
41,2020-03-06,8.81,8.81,8.67,8.74,3959935
42,2020-03-09,8.53,8.53,7.94,8.05,16776046
43,2020-03-10,7.94,8.57,7.91,8.36,7582331
44,2020-03-11,8.39,8.43,7.94,8.08,7841324
45,2020-03-12,7.94,7.94,7.43,7.63,11082125
46,2020-03-13,7.43,7.77,7.08,7.6,9020091
47,2020-03-16,7.6,7.7,7.15,7.22,4614344
48,2020-03-17,7.18,7.39,6.94,7.29,6568088
49,2020-03-18,7.36,7.46,7.22,7.32,4944595
50,2020-03-19,7.25,7.36,7.15,7.29,4083896
51,2020-03-20,8.01,8.01,7.25,7.39,3341564
52,2020-03-23,7.32,7.39,6.67,6.67,10024177
53,2020-03-24,6.6,6.87,6.6,6.77,4315784
54,2020-03-25,6.91,7.18,6.91,7.08,4115341
55,2020-03-26,7.12,7.12,6.8,6.8,3631529
56,2020-03-27,6.8,6.94,6.74,6.8,3980631
57,2020-03-30,6.74,6.74,6.18,6.29,5925098
58,2020-03-31,6.29,6.49,6.01,6.15,4532153
59,2020-04-01,5.56,6.56,5.56,6.42,2761168
60,2020-04-03,6.25,6.7,6.25,6.6,3574343
61,2020-04-06,6.7,7.18,6.6,7.12,5757259
62,2020-04-07,7.25,7.25,6.91,7.01,4467621
63,2020-04-08,7.7,7.7,6.8,6.98,2331536
64,2020-04-09,7.67,7.67,6.91,6.91,4068966
65,2020-04-10,6.56,6.98,6.56,6.84,2517477
66,2020-04-13,6.18,7.05,6.18,6.91,1926793
67,2020-04-14,6.91,6.98,6.8,6.91,3167293
68,2020-04-15,6.91,7.15,6.91,6.98,3686239
69,2020-04-16,6.98,7.05,6.94,7.05,1895213
70,2020-04-17,7.08,7.29,7.08,7.25,4809341
71,2020-04-20,7.32,7.32,7.12,7.15,3064104
72,2020-04-21,7.12,7.12,6.8,6.84,6015799
73,2020-04-22,6.84,7.05,6.7,7.05,2637424
74,2020-04-23,7.08,7.18,7.01,7.01,2076603
75,2020-04-24,6.98,7.05,6.91,7.01,1264729
76,2020-04-27,7.01,7.12,6.91,6.94,1806851
77,2020-04-28,6.94,7.05,6.91,7.01,1246915
78,2020-04-29,7.01,7.08,6.98,7.08,1196049
79,2020-05-04,7.08,7.08,6.94,7.01,1193939
80,2020-05-05,6.98,7.05,6.98,7.01,1126770
81,2020-05-06,7.05,7.32,6.98,7.18,4453036
